*****************************************************,,,,,,,,,,,,,,,,,,,,,
    RuntimeTestsPH00_Main_C0 PID: 348214 TID: 2;0,0863;0,2234;0,1482;315;0,345;0,894;0,593;315;0;0;0;315;0;0;0;315;0;0;0;315;1600;37200;6354;789;1600;40400;6527;789;48800;146400;88042;789;50400;154400;94569;789;19818000;19999200;19905396;788;0;163400;56348;1658;19724600;19960400;19857984;788;19929200;20078000;19999988;788;19877400;20129200;19999979;788;6800;53600;20440;789;92,494;99,596;99,268;315;0,032;0,239;0,"102;315;""n/a""",,,,,,,,,
    RuntimeTestsPH00_Main_C1 PID: 348214 TID: 3;0,0632;0,169;0,1071;315;0;0;0;315;0,253;0,676;0,428;315;0;0;0;315;0;0;0;315;1400;22400;3820;789;1400;22400;3820;789;46200;135200;70253;789;48200;139400;74073;789;19732000;20082600;19925857;788;58800;151400;85600;789;19710000;20039800;19896589;788;19832200;20169000;19999954;788;19816400;20164800;19999928;788;7000;64000;17741;789;98,884;99,701;99,481;315;0,033;0,185;0,"089;315;""n/a""",,,,,,,,,
    RuntimeTestsPH00_Main_C2 PID: 348214 TID: 4;0,059;0,202;0,1232;315;0;0;0;315;0;0;0;315;0,236;0,808;0,493;315;0;0;0;315;1400;44800;8555;790;1400;44800;8555;790;27200;147600;69531;790;31400;160000;78087;790;13522000;26303000;19913899;789;40600;201200;98455;790;13482200;26276000;19870418;789;13639600;26346200;19991973;789;13571000;26401200;19991983;789;6400;64200;23119;790;97,315;99,684;99,386;315;0,037;0,22;0,"116;315;""n/a""",,,,,,,,,
    RuntimeTestsPH00_Main_C3 PID: 348214 TID: 5;0,0876;0,2541;0,1566;315;0;0;0;315;0;0;0;315;0;0;0;315;0,35;1,016;0,626;315;1600;42800;7158;789;1600;42800;7158;789;69000;344800;96676;789;71600;361000;103835;789;19636200;19970000;19896165;788;81000;283600;125305;789;19598000;19934800;19846365;788;19933200;20057200;19999984;788;19740600;20237400;19999994;788;10000;209000;28324;789;72,319;99,539;99,146;315;0,056;0,54;0,"142;315;""n/a""",,,,,,,,,
CtApSecDiag_PH00 PID: 372777,,,,,,,,,,,,,,,,,,,,,
"    CtApSecDiag_PH00 PID: 372777 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    RCtApSecDiag_PH00Main PID: 372777 TID: 2;0,1014;0,2543;0,1597;315;0;0;0;315;0;0;0;315;0,406;1,017;0,639;315;0;0;0;315;1400;30200;5593;789;1400;30200;5593;789;60000;132800;84954;789;62800;146600;90548;789;19848000;19980000;19909385;788;96800;195000;127831;789;19767400;19926600;19852353;788;19934800;20060600;19999955;788;19926000;20077000;19999923;788;6200;51200;19743;789;66,678;99,566;99,158;315;0,028;0,232;0,"099;315;""n/a""",,,,,,,,,
CtApSomeIpDiag_PH00 PID: 372794,,,,,,,,,,,,,,,,,,,,,
"    CtApSomeIpDiag_PH00 PID: 372794 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    RSomeIpDiag_PH00_Cyclic_0 PID: 372794 TID: 2;0;0,1009;0,0338;315;0;0;0;315;0;0;0;315;0;0,404;0,135;315;0;0;0;315;30400;55600;35546;158;30400;55600;35546;158;61000;136200;76835;158;93800;179800;112382;158;99782400;99960200;99887428;157;114800;201800;134844;158;99732200;99915000;99847847;157;99933400;100058000;99999872;157;99896600;100120600;99999899;157;6600;50000;17069;158;4,166;100;99,544;315;0;0,1;0,"017;315;""n/a""",,,,,,,,,,,,,
CtApTaskMonitoring_PH00 PID: 421956,,,,,,,,,,,,,,,,,,,,,
"    CtApTaskMonitoring_PH00 PID: 421956 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    RTaskMonitoring_PH00 PID: 421956 TID: 2;0,8563;1,2947;0,9901;315;0;0;0;315;0;0;0;315;3,425;5,179;3,961;315;0;0;0;315;243400;482000;286769;1578;243400;1987200;435282;1578;37200;187000;75565;1578;288600;2126600;510847;1578;7846800;9742200;9489030;1577;0;379400;146092;4277;7737400;9706400;9323743;1577;9933800;10067000;9999993;1577;9838000;10159600;9999995;1577;6000;96000;17560;1578;84,573;96,5;93,232;315;0,069;10,133;2,"766;315;""n/a""",,,,,,,,,
CtApTlrAdapter_PH00_FreeRunning PID: 446536,,,,,,,,,,,,,,,,,,,,,
"    CtApTlrAdapter_PH00_FreeRunning PID: 446536 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
"    CtApTlrAdapter_PH00_FreeRunning PID: 446536 TID: 3;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    CtApTlrAdapter_PH00_FreeRunning PID: 446536 TID: 6;0;1,2435;0,2267;315;0;2,151;0,251;315;0;1,452;0,082;315;0;1,971;0,229;315;0;2,126;0,"345;315;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";0;582800;53025;2693;6400;500926600;9533373;1623;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";0;1373400;27416;1623;48",989;100;98,352;315;0;6,312;0,"576;315;""n/a""",,,,,,,
    vComDef0-0 PID: 446536 TID: 4;0;0,2292;0,003;281;0;0,332;0,005;281;0;0;0;281;0;0,544;0,002;281;0;0,415;0,"005;281;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";3200;272000;80619;21;1712924800;1743892000;1725641475;8;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";7200;130800;33977;9;84",761;100;99,93;281;0;0,756;0,"005;281;""n/a""",,,,,,,,,
    vComResp0-0 PID: 446536 TID: 5;0;0,1451;0,0105;308;0;0,385;0,009;308;0;0,368;0,005;308;0;0,359;0,012;308;0;0,453;0,"016;308;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";2200;226600;60767;106;50078400;1046355800;278791946;52;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";5000;386000;45996;53;7",502;100;99,626;308;0;1,046;0,"033;308;""n/a""",,,,,,,
"    vLogApiReactor PID: 446536 TID: 2;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
CtApTLTTimeProviderASIL PID: 405566,,,,,,,,,,,,,,,,,,,,,
"    CtApTLTTimeProviderASIL PID: 405566 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    RTLTTimeProviderASIL PID: 405566 TID: 2;0,2589;0,4351;0,3225;315;0;0;0;315;0;0;0;315;1,036;1,74;1,29;315;0;0;0;315;2400;109400;12478;1578;2400;218000;13218;1578;58200;373400;89641;1578;60600;380800;102859;1578;8047200;11715400;9896008;1577;63200;245600;126486;1610;8200;11672000;9650052;1609;8189800;11811000;9998865;1577;8142000;11845600;9998851;1577;0;299400;23497;1610;86,547;98,778;98,433;315;0,14;0,775;0,"24;315;""n/a""",,,,,,,,,
CtApUTCAtiTimeProvider PID: 401469,,,,,,,,,,,,,,,,,,,,,
"    CtApUTCAtiTimeProvider PID: 401469 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    RUTCAtiTimeProvider PID: 401469 TID: 2;0;0,1993;0,0363;312;0;0;0;312;0;0;0;312;0;0,797;0,145;312;0;0;0;312;156200;281800;190524;79;424400;1148800;693886;79;59000;104600;76000;79;499800;1244600;769886;79;198739000;199507400;199229592;78;1600;147600;58746;390;5400;199464200;58649701;265;199927200;200051200;199999817;78;199918800;200062800;199999515;78;2800;648200;42390;266;82,665;100;99,579;312;0;1,529;0,"225;312;""n/a""",,,,,,,,,,,,,
CtApVerMod_PH00 PID: 340019,,,,,,,,,,,,,,,,,,,,,
"    CtApVerMod_PH00 PID: 340019 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    RCtApVerModQm_PH00_Main PID: 340019 TID: 2;0;0,1027;0,0168;312;0;0;0;312;0;0;0;312;0;0,411;0,067;312;0;0;0;312;2600;43400;10441;78;2600;43400;10441;78;59400;141000;80989;78;62200;160800;91430;78;199811000;199993600;199908025;77;84000;205400;134366;78;199762000;199949800;199852306;77;199948200;200062400;199999774;77;199907400;200098600;199999670;77;6200;41400;13300;78;29,953;100;99,703;312;0;0,083;0,"007;312;""n/a""",,,,,,,,,,,,,
CtCdDebug_PH00 PID: 434223,,,,,,,,,,,,,,,,,,,,,
"    CtCdDebug_PH00 PID: 434223 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    RDebug_PH00 PID: 434223 TID: 2;0;0,1043;0,0294;314;0;0;0;314;0;0;0;314;0;0,417;0,118;314;0;0;0;314;17200;61000;23181;158;17200;61000;23181;158;51000;115200;74113;158;72600;150800;97294;158;98698200;101063800;99909394;157;88200;208600;117450;158;98632000;101020600;99867723;157;98838600;101151800;100006731;157;98808200;101176400;100006513;157;7000;53600;21618;158;66,309;100;99,755;314;0;0,107;0,"022;314;""n/a""",,,,,,,,,,,,,
CtCdErrorHandlerProxy_PH00 PID: 409665,,,,,,,,,,,,,,,,,,,,,
"    CtCdErrorHandlerProxy_PH00 PID: 409665 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    RErrorHandlerProxy_PH00 PID: 409665 TID: 2;0,4966;0,6626;0,5728;315;0;0;0;315;0;0;0;315;1,986;2,65;2,291;315;0;0;0;315;71600;126000;88202;1578;71600;126000;88202;1578;60400;175000;107978;1578;137400;273800;196181;1578;8586600;11040000;9803061;1577;3600;329400;227382;1590;8539000;10988400;9737760;1577;8779200;11212400;9999221;1577;8812600;11210000;9999260;1577;6800;88200;30922;1578;93,206;97,706;97,372;315;0,18;1,674;0,"324;315;""n/a""",,,,,,,,,
CtCdHealthMgmtSlave_PH00 PID: 356397,,,,,,,,,,,,,,,,,,,,,
"    CtCdHealthMgmtSlave_PH00 PID: 356397 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    HealthMgmtSlave_Main PID: 356397 TID: 2;0,3881;0,5302;0,4409;315;0;0;0;315;0;0;0;315;1,552;2,121;1,764;315;0;0;0;315;9000;51200;16810;1578;9000;51200;16810;1578;58600;336400;101936;1578;68200;348400;118747;1578;8592800;11119000;9880495;1577;128800;265000;176344;1578;8491000;11042600;9797041;1577;8757200;11234600;9999233;1577;8683600;11284400;9999253;1577;6400;269800;25848;1578;92,123;98,254;97,959;315;0,158;0,713;0,"258;315;""n/a""",,,,,,,,,
CtCdIDC PID: 323626,,,,,,,,,,,,,,,,,,,,,
"    CtCdIDC PID: 323626 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
"    CtCdIDC PID: 323626 TID: 5;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
"    CtCdIDC PID: 323626 TID: 8;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    RCtCdIDCFast PID: 323626 TID: 2;0,2052;0,3629;0,266;315;0;0;0;315;0;0;0;315;0,821;1,452;1,064;315;0;0;0;315;1600;55000;6835;1578;1600;315400;7160;1578;29400;599800;91694;1578;31200;629000;98855;1578;8293000;11466800;9900160;1577;2400;214000;105083;1598;7115600;11430800;9861827;1577;8403200;11573200;9999011;1577;8388600;11590600;9999001;1577;6600;529200;28792;1578;87,874;98,975;98,594;315;0,181;2,551;0,"308;315;""n/a""",,,,,,,,,
    RCtCdIDCMain PID: 323626 TID: 3;0,3952;1,1389;0,5927;315;0;0;0;315;0;0;0;315;1,581;4,556;2,371;315;0;0;0;315;117200;245800;155804;395;117200;1026400;346696;395;171600;2364600;1182044;395;544200;3369200;1528740;395;32349400;43379000;38464974;394;1200;898200;119216;3140;31377200;42721000;37746384;394;33356800;45046400;39995876;394;34021800;44867600;39995910;394;6200;721800;21241;395;78,408;97,835;94,33;315;0,476;6,653;3,"224;315;""n/a""",,,,,,,,,
"    vComDef0-0 PID: 323626 TID: 6;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
"    vComResp0-0 PID: 323626 TID: 7;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
"    vLogApiReactor PID: 323626 TID: 4;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
CtCdIdsAgent PID: 356408,,,,,,,,,,,,,,,,,,,,,
