*****************************************************,,,,,,,,,,,,,,,,,,,,,
    AraCryptoConfigCreator PID: 229393 TID: 1;0;0,0193;0,0001;219;0;0;0;219;0;0;0;219;0;0,"077;0;219;0;0;0;219;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";38600;38600;38600;1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";13400;13400;13400;1;45",362;100;99,751;219;0;0,"027;0;219;""n/a""",,,,,,,,,,,,,,,
CtApACA PID: 323618,,,,,,,,,,,,,,,,,,,,,
"    CtApACA PID: 323618 TID: 6;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
"    CtApACA PID: 323618 TID: 1;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
    RCtApACABGMain PID: 323618 TID: 2;0,2084;0,4264;0,2893;315;0,834;1,706;1,157;315;0;0;0;315;0;0;0;315;0;0;0;315;18000;134200;42369;1578;18000;864000;45157;1578;29800;935800;89031;1578;51600;1002000;134188;1578;8931400;10018000;9865798;1577;0;267200;64325;2839;108200;9964800;9811943;1580;9933400;10097600;10000002;1577;9058000;10893000;10000016;1577;8000;778600;48387;1581;84,836;98,874;98,262;315;0,137;2,972;0,"515;315;""n/a""",,,,,,,,,
    RCtApACADataCollMain PID: 323618 TID: 3;1,7539;3,6881;2,6104;315;7,016;14,752;10,441;315;0;0;0;315;0;0;0;315;0;0;0;315;1038200;1827400;1337014;789;2777200;5073600;3586000;789;230200;498600;335291;789;3092800;5493400;3921292;789;14487600;16950800;16079334;788;0;554000;73143;22540;14000;16514600;1674000;7889;19947600;20055800;20000000;788;19743600;20265400;20000035;788;3000;1239200;76771;7890;64,582;89,668;83,72;315;2,818;9,133;5,"384;315;""n/a""",,,,,,,,,
    RCtApACAT20Main PID: 323618 TID: 4;0,6316;1,4226;0,9589;315;2,526;5,69;3,835;315;0;0;0;315;0;0;0;315;0;0;0;315;362000;708600;497101;789;367600;720000;509498;789;65600;200400;101466;789;447800;818800;610965;789;19192000;19607000;19389118;788;0;721800;102044;5928;18896400;19425200;19186589;788;19922400;20082600;19999998;788;19889800;20145000;19999975;788;7600;58200;24530;789;83,712;97,326;95,896;315;0,039;0,234;0,"123;315;""n/a""",,,,,,,,,
"    vComDef0-0 PID: 323618 TID: 7;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
"    vComResp0-0 PID: 323618 TID: 8;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
"    vLogApiReactor PID: 323618 TID: 5;""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a"";""n/a""",,,,,,,,,,,,,,,,,,,,,
